switch_step,handoff_end,relaunch_min_ships,relaunch_threat_frac,relaunch_prod_mult,relaunch_prod_add,crush_prod_ratio,aggressive_prod_ratio,aggressive_ship_ratio,defend_prod_frac,matches,main_avg,main_wins,main_losses,main_median,agent_02_avg,agent_02_wins,agent_03_avg,agent_03_wins,agent_04_avg,agent_04_wins,all_done,index
45,110,90,0.18,1.05,3,4.0,2.0,2.5,0.7,5,0.2,3,2,1,-1.0,0,-1.0,0,0.2,3,True,7
45,95,70,0.2,1.2,4,5.0,2.5,3.2,0.82,5,-0.2,2,3,-1,-1.0,0,-1.0,0,0.2,3,True,5
45,125,110,0.3,1.4,6,3.2,1.6,2.0,0.6,5,-0.2,2,3,-1,-0.6,1,-1.0,0,-0.2,2,True,9
55,95,70,0.2,1.2,4,5.0,2.5,3.2,0.82,5,-0.2,2,3,-1,-0.6,1,-0.6,1,-0.6,1,True,17
55,110,90,0.18,1.05,3,3.2,1.6,2.0,0.6,5,-0.2,2,3,-1,-0.6,1,-1.0,0,-0.2,2,True,18
55,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,5,-0.2,2,3,-1,-0.6,1,-1.0,0,-0.2,2,True,22
45,95,70,0.2,1.2,4,3.2,1.6,2.0,0.6,5,-0.6,1,4,-1,-0.6,1,-0.6,1,0.2,3,True,3
45,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,5,-0.6,1,4,-1,0.2,3,-0.6,1,-1.0,0,True,4
45,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,5,-0.6,1,4,-1,-1.0,0,-1.0,0,0.6,4,True,8
45,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,5,-0.6,1,4,-1,-0.2,2,-1.0,0,-0.2,2,True,10
45,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,5,-0.6,1,4,-1,-0.6,1,-1.0,0,0.2,3,True,11
55,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,5,-0.6,1,4,-1,-0.2,2,-1.0,0,-0.2,2,True,13
55,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,5,-0.6,1,4,-1,-0.2,2,-1.0,0,-0.2,2,True,14
55,95,70,0.2,1.2,4,3.2,1.6,2.0,0.6,5,-0.6,1,4,-1,0.2,3,-1.0,0,-0.6,1,True,15
55,110,90,0.18,1.05,3,4.0,2.0,2.5,0.7,5,-0.6,1,4,-1,-1.0,0,-1.0,0,0.6,4,True,19
55,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,5,-0.6,1,4,-1,-1.0,0,-0.6,1,0.2,3,True,20
55,125,110,0.3,1.4,6,3.2,1.6,2.0,0.6,5,-0.6,1,4,-1,-0.6,1,-1.0,0,0.2,3,True,21
55,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,5,-0.6,1,4,-1,-0.2,2,-1.0,0,-0.2,2,True,23
65,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,5,-0.6,1,4,-1,-0.2,2,-1.0,0,0.2,3,True,25
45,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,5,-1.0,0,5,-1,-0.6,1,-0.6,1,0.2,3,True,0
45,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,5,-1.0,0,5,-1,-1.0,0,-1.0,0,1.0,5,True,1
45,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,5,-1.0,0,5,-1,-0.2,2,-0.6,1,-0.2,2,True,2
45,110,90,0.18,1.05,3,3.2,1.6,2.0,0.6,5,-1.0,0,5,-1,-0.2,2,-0.6,1,-0.2,2,True,6
55,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,5,-1.0,0,5,-1,-0.2,2,-0.6,1,-0.2,2,True,12
55,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,5,-1.0,0,5,-1,0.2,3,-0.6,1,-0.6,1,True,16
65,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,5,-1.0,0,5,-1,-0.6,1,-0.2,2,-0.2,2,True,24
